codigo	medicamento	concentracion	forma	m_res	atc
B 05 19	Solución de glucosa	50% (500 ml)	Solucion parenteral de gran volumen		B05CX01
B 05 20	Solución de glucosa	50% (20 ml)	Inyectable		B05CX01
B 05 21	Solución de Manitol	20% (500 ml)	Solucion parenteral de gran volumen		B05CX04
B 05 22	Solución Fisiologica	0,9% (500 ml)	Solucion parenteral de gran volumen		B05CB01
B 05 23	Solución Fisiologica	0,9% (1.000 ml)	Solucion parenteral de gran volumen		B05CB01
S 01 21	Solución Fisiológica	0,9% (15 a 30 ml)	Solución		S01X**
B 05 24	Solución glucosada clorurada	500 ml	Solucion parenteral de gran volumen		B05CB10
B 05 25	Solución glucosada clorurada	1.000 ml	Solucion parenteral de gran volumen		B05CB10
B 05 26	Solución para dialisis peritoneal I	1.000 ml	Solucion parenteral de gran volumen		B05DB**
B 05 27	Solución para dialisis peritoneal II	1.000 ml	Solucion parenteral de gran volumen		B05DB**
B 05 29	Solución ringer lactato	500 ml	Solucion parenteral de gran volumen		B05XA30
B 05 30	Solución ringer lactato	1.000 ml	Solucion parenteral de gran volumen		B05XA30
B 05 31	Solución ringer normal	500 ml	Solucion parenteral de gran volumen		B05XA30
B 05 32	Solución ringer normal	1.000 ml	Solucion parenteral de gran volumen		B05XA30
J 06 04	Suero antiofidico polivalente	10 ml	Inyectable		J06AA03
J 06 05	Suero antirrabico humano heterologo	Según disponibilidad	Inyectable		J06AA06
D 06 02	Sulfadiazina de plata	1%	Crema o pomada		D06BA01
P 01 19	Sulfadoxina + Pirimetamina	500 mg+25 mg	Comprimido		P01BD51
V 08 08	Sulfato de bario	Según disponibilidad	Suspensión		V08BA02
V 08 09	Sulfato de bario	Según disponibilidad	Polvo para enema		V08BA02
B 05 33	Sulfato de magnesio	10%	Inyectable		B05XA05
A 06 08	Sulfato de Magnesio	20 g a 30 g	Granulado		A06AD04
B 03 06	Sulfato ferroso	200 mg	Comprimido		B03AA07
B 03 07	Sulfato ferroso	125 mg/ml	Solución oral		B03AA07
B 03 08	Sulfato ferroso + Ac. Fólico + Vitamina C	200 mg + 0,5 mg + 150 mg	Comprimido		B03AE10
B 03 09	Sulfato ferroso + Ac. Fólico + Vitamina C	125 mg + 0,25mg + 30 mg	Solución oral		B03AE10
R 07 01	Surfactante pulmonar	25 o 30 mg/ml	Inyectable		R07AA02
M 03 04	Suxametonio (Succinil colina)	500 mg	Inyectable		M03AB01
L 04 10	Tacrolimus	1 mg	Capsula	R	L04AA05
L 04 08	Talidomida	100 mg	Comprimido	R	L04AX02
L 02 05	Tamoxifeno	20 mg	Comprimido		L02BA01
J 05 28	Tenofovir disoproxilo	245 mg (Equiv. a 300 mg como)	Compimido		J05AF07
R 03 07	Teofilina	200 mg	Comprimido		R03DA04
R 03 08	Teofilina	300 mg	Comprimido		R03DA04
G 03 18	Testosterona undecanoato	1000 mg	Inyectable		G03BA03
J 01 54	Tetraciclina	500 mg	Cápsula o Comprimido		J01AA07
P 02 10	Tiabendazol	500 mg	Comprimido		P02CA02
D 01 05	Tiabendazol	50 mg/g	Crema o pomada		D01AC06
P 02 11	Tiabendazol	500 mg/5 ml	Suspensión		P02CA02
A 11 17	Tiamina (Vitamina B 1)	300 mg	Comprimido		A11DA01
A 11 18	Tiamina (Vitamina B 1)	100 mg/ml	Inyectable		A11DA01
S 01 22	Timolol maleato	0,50%	Solución oftálmica		S01ED01
N 01 15	Tiopental sódico	1 g	Inyectable		N01AF03
N 05 13	Tioridazina	100 mg/5 ml	Suspensión		N05AC02
N 05 14	Tioridazina	100 mg	Comprimido		N05AC02
A 11 19	Tocoferol (Vitamina E)	1.000 UI	Cápsula blanda		A11HA03
D 01 06	Tolnaftato	1%	Solución		D01AE18
J 07 01	Toxoide tetanico adsorbido	120 UI/ml	Inyectable		J07AM01
P 02 12	Triclabendazol	250 mg	Comprimido		P02BX04
L 02 06	Triptorelina	3,75 mg	Inyectable		L02AE04
L 02 07	Triptorelina	11,25 mg	Inyectable		L02AE04
S 01 23	Tropicamida	1%	Solución oftálmica		S01FA06
D 02 03	Unguento dérmico eucalipto mentol	Según disponibilidad	Unguento o Crema		D02AX**
J 07 02	Vacuna antiamarilica	Norma PAI (20 dosis)	Inyectable		J07BL01
J 07 03	Vacuna antiamarilica	Norma PAI (10 dosis)	Inyectable		J07BL01
J 07 04	Vacuna antiamarilica	Norma PAI (5 dosis)	Inyectable		J07BL01
J 07 05	Vacuna antihepatitis B	Norma PAI	Inyectable		J07BC01
J 07 06	Vacuna antipoliomielitica trivalente (tipo Sabin)	Norma PAI (20 dosis)	Inyectable		J07BF02
J 07 07	Vacuna antipoliomielitica trivalente (tipo Sabin)	Norma PAI (10 dosis)	Inyectable		J07BF02
J 07 18	Vacuna Antirotavirica	Norma PAI Multidosis	Inyectable		J07BH01
J 07 19	Vacuna Antirotavirica	Norma PAI (Unidosis)	Inyectable		J07BH01
J 07 08	Vacuna antirrabica	Norma PAI	Inyectable		J07BG01
J 07 09	Vacuna antisarampionosa	Norma PAI	Inyectable		J07BD01
J 07 10	Vacuna antitetanica	Norma PAI	Inyectable		J07AM01
J 07 11	Vacuna BCG	Norma PAI	Inyectable		J07AN01
J 07 12	Vacuna doble DT (Difteria, Tetanos)	Norma PAI	Inyectable		J07AM51
J 07 21	Vacuna Influenza Adulto	Norma PAI	Inyectable		J07X**
J 07 20	Vacuna Influenza Pediatrica	Norma PAI	Inyectable		J07X**
J 07 13	Vacuna pentavalente (DPT+Hep. B+H. Influenzae)	Norma PAI	Inyectable		J07X**
J 07 14	Vacuna SR (Sarampion, Rubeola)	Norma PAI	Inyectable		J07BD53
J 07 15	Vacuna SRP (Sarampion, Rubeola, Paperas)	Norma PAI Multidosis	Inyectable		J07BD01
J 07 16	Vacuna SRP (Sarampion, Rubeola, Paperas)	Norma PAI (Unidosis)	Inyectable		J07BD01
J 07 17	Vacuna Triple DPT (Difteria, Pertusis, Tetanos)	Norma PAI	Inyectable		J07X**
J 05 29	Valganciclovir	450 mg	Comprimido		J05AB14
J 01 55	Vancomicina	500 mg	Inyectable	R	J01XA01
D 02 04	Vaselina liquida	1 l	Solución		D02AC**
D 02 05	Vaselina sólida	1 kg	Pasta		D02AC**
C 08 04	Verapamilo	80 mg	Comprimido		C08DA01
C 08 05	Verapamilo	2,5 mg/ml	Inyectable		C08DA01
C 08 06	Verapamilo	40 mg	Comprimido		C08DA01
L 01 30	Vincristina	1 mg/ml	Inyectable		L01CA02
L 01 31	Vinorelbina	50 mg	Inyectable		L01CA04
D 01 07	Violeta de genciana (Cloruro de metilrosanilina)	1%	Solución		D01AE02
B 01 05	Warfarina	5 mg	Comprimido		B01AA03
J 05 23	Zidovudina	100 mg	Cápsula o Comprimido		J05AF01
J 05 24	Zidovudina	10 mg/ml	Inyectable		J05AF01
J 05 25	Zidovudina	10 mg/ml	Suspensión oral		J05AF01
J 05 26	Zidovudina	300 mg	Cápsula o Comprimido		J05AF01
J 05 27	Zidovudina + Lamivudina	300 mg+150 mg	Comprimido		J05AF30
A 12 05	Zinc	20 mg/ 5ml	Jarabe		A12CB01
A 12 06	Zinc	20 mg	Comprimido		A12CB01
A 12 07	Zinc	10 mg/ 5ml	Jarabe		A12CB01
